Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,200,3356.0,37,100.012374,OK
2,200,3777.0,35,100.011655,OK
3,200,4432.0,36,100.011529,OK
4,200,3674.0,35,100.011754,OK
5,200,3743.0,34,100.012325,OK
6,200,4088.0,36,90.011017,OK
7,200,3486.0,36,100.011856,OK
8,200,3672.0,37,90.011825,OK
9,200,3933.0,35,100.012599,OK
10,200,4036.0,36,100.012743,OK
11,200,4516.0,35,90.010507,OK
12,200,3504.0,37,100.010991,OK
13,200,4202.0,34,80.010975,OK
14,200,3723.0,38,90.011131,OK
15,200,3933.0,35,90.012911,OK
16,200,4220.0,35,100.01158,OK
17,200,4218.0,35,100.011688,OK
18,200,3900.0,36,100.011565,OK
19,200,4287.0,34,100.011508,OK
20,200,3459.0,37,100.011613,OK
21,200,4036.0,34,100.011438,OK
22,200,3971.0,36,90.011808,OK
23,200,3757.0,37,80.012386,OK
24,200,3892.0,35,100.012087,OK
25,200,3562.0,34,100.013226,OK
26,200,4065.0,37,100.011959,OK
27,200,4340.0,36,80.012104,OK
28,200,3458.0,36,100.011429,OK
29,200,4258.0,34,100.011755,OK
30,200,3530.0,35,100.012174,OK
31,200,3983.0,35,90.01171,OK
32,200,3999.0,36,100.0109,OK
33,200,3838.0,36,90.011001,OK
34,200,3757.0,36,100.012518,OK
35,200,4083.0,35,100.012015,OK
36,200,3470.0,35,90.011532,OK
37,200,4327.0,34,100.010842,OK
38,200,4408.0,34,100.011747,OK
39,200,3963.0,35,100.012233,OK
40,200,3816.0,36,100.011533,OK
41,200,4257.0,32,90.011857,OK
42,200,3652.0,36,100.012335,OK
43,200,4102.0,35,90.010861,OK
44,200,4166.0,35,100.0112,OK
45,200,3788.0,35,90.012633,OK
46,200,3636.0,36,100.01177,OK
47,200,3756.0,35,100.012628,OK
48,200,4110.0,33,100.012641,OK
49,200,3493.0,34,100.011603,OK
50,200,3810.0,36,100.011398,OK
51,200,3762.0,35,90.011238,OK
52,200,3660.0,34,100.010856,OK
53,200,4204.0,35,100.01103,OK
54,200,3827.0,33,100.011563,OK
55,200,4565.0,34,100.010477,OK
56,200,3936.0,34,100.012912,OK
57,200,4508.0,34,90.013859,OK
58,200,4546.0,35,80.010975,OK
59,200,4431.0,36,80.01154,OK
60,200,4756.0,35,90.011712,OK
61,200,3626.0,36,100.012587,OK
62,200,3842.0,34,80.012085,OK
63,200,3566.0,34,100.011729,OK
64,200,3429.0,36,100.012214,OK
65,200,3824.0,36,100.011748,OK
66,200,3922.0,35,100.012391,OK
67,200,3595.0,36,90.012088,OK
68,200,3626.0,35,100.012534,OK
69,200,4148.0,37,100.011473,OK
70,200,3907.0,35,100.012104,OK
71,200,3601.0,34,100.011951,OK
72,200,4040.0,35,90.011525,OK
73,200,4481.0,36,90.013281,OK
74,200,3980.0,34,100.011126,OK
75,200,3579.0,36,100.014117,OK
76,200,4408.0,34,100.011005,OK
77,200,3605.0,37,90.011759,OK
78,200,4006.0,35,100.011867,OK
79,200,4121.0,35,90.013164,OK
80,200,3481.0,34,100.012769,OK
81,200,3638.0,34,100.010989,OK
82,200,3934.0,34,100.012124,OK
83,200,4229.0,35,100.011848,OK
84,200,3679.0,35,100.012083,OK
85,200,4110.0,34,100.010862,OK
86,200,3980.0,35,100.011627,OK
87,200,4532.0,35,100.012555,OK
88,200,3921.0,35,90.01045,OK
89,200,3771.0,36,100.012566,OK
90,200,4308.0,33,100.011241,OK
91,200,3908.0,34,90.011662,OK
92,200,3822.0,35,100.011699,OK
93,200,3819.0,35,90.011166,OK
94,200,4048.0,35,90.011564,OK
95,200,3802.0,35,100.012623,OK
96,200,4192.0,35,80.011744,OK
97,200,4025.0,34,90.01234,OK
98,200,3995.0,35,100.011567,OK
99,200,4837.0,34,100.010474,OK
100,200,3847.0,37,90.011625,OK
