Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,180,3538.0,39,100.012141,OK
2,180,3909.0,41,100.013096,OK
3,180,4746.0,38,100.012102,OK
4,180,3891.0,40,100.01217,OK
5,180,4054.0,41,100.012359,OK
6,180,4434.0,38,90.011132,OK
7,180,3689.0,38,100.012072,OK
8,180,3867.0,39,90.011895,OK
9,180,4338.0,38,100.011742,OK
10,180,4373.0,38,100.012182,OK
11,180,4832.0,39,90.010793,OK
12,180,3746.0,40,100.011237,OK
13,180,4457.0,38,80.010595,OK
14,180,3875.0,38,90.012123,OK
15,180,4296.0,37,90.011264,OK
16,180,4587.0,38,100.012806,OK
17,180,4568.0,39,100.01331,OK
18,180,4120.0,40,100.01178,OK
19,180,4608.0,38,100.013189,OK
20,180,3707.0,39,100.011852,OK
21,180,4330.0,39,100.012483,OK
22,180,4147.0,39,90.013244,OK
23,180,3883.0,41,80.011949,OK
24,180,4174.0,41,100.011638,OK
25,180,3844.0,39,100.012429,OK
26,180,4236.0,38,100.011553,OK
27,180,4703.0,39,80.012021,OK
28,180,3759.0,39,100.012202,OK
29,180,4693.0,39,100.01134,OK
30,180,3839.0,38,100.011895,OK
31,180,4236.0,38,90.012236,OK
32,180,4232.0,38,100.010895,OK
33,180,4046.0,39,90.011176,OK
34,180,3997.0,38,100.013778,OK
35,180,4266.0,38,100.012454,OK
36,180,3653.0,40,90.012484,OK
37,180,4592.0,39,100.011874,OK
38,180,4893.0,39,100.012781,OK
39,180,4283.0,39,100.010904,OK
40,180,4158.0,38,100.011755,OK
41,180,4609.0,38,90.01136,OK
42,180,3831.0,40,100.011989,OK
43,180,4291.0,38,90.011669,OK
44,180,4416.0,38,100.010921,OK
45,180,4017.0,39,90.012895,OK
46,180,3813.0,40,100.012698,OK
47,180,4062.0,38,100.013937,OK
48,180,4355.0,36,100.011294,OK
49,180,3614.0,38,100.011937,OK
50,180,4048.0,39,100.012154,OK
51,180,3947.0,38,90.010839,OK
52,180,3943.0,37,100.011502,OK
53,180,4533.0,38,100.010521,OK
54,180,4128.0,39,100.012747,OK
55,180,4952.0,38,100.010269,OK
56,180,4159.0,38,100.01217,OK
57,180,4890.0,40,90.011407,OK
58,180,4954.0,38,80.011224,OK
59,180,4938.0,38,80.010659,OK
60,180,5121.0,39,90.012495,OK
61,180,3827.0,37,100.011564,OK
62,180,4112.0,39,80.01041,OK
63,180,3814.0,40,100.012244,OK
64,180,3602.0,38,100.012351,OK
65,180,4061.0,39,100.013015,OK
66,180,4156.0,38,100.012349,OK
67,180,3804.0,39,90.011221,OK
68,180,3754.0,36,100.010917,OK
69,180,4361.0,40,100.01164,OK
70,180,4159.0,38,100.01128,OK
71,180,3832.0,38,100.01196,OK
72,180,4357.0,40,90.011251,OK
73,180,4879.0,40,90.011093,OK
74,180,4261.0,40,100.011434,OK
75,180,3794.0,39,100.011002,OK
76,180,4709.0,38,100.011511,OK
77,180,3874.0,40,90.011953,OK
78,180,4317.0,39,100.012868,OK
79,180,4372.0,39,90.010766,OK
80,180,3718.0,40,100.012643,OK
81,180,3859.0,37,100.011176,OK
82,180,4149.0,38,100.012883,OK
83,180,4404.0,38,100.010835,OK
84,180,3899.0,39,100.011112,OK
85,180,4298.0,37,100.0117,OK
86,180,4314.0,39,100.01149,OK
87,180,4852.0,39,100.010905,OK
88,180,4067.0,38,90.011978,OK
89,180,3896.0,37,100.01233,OK
90,180,4584.0,39,100.011609,OK
91,180,4193.0,39,90.011634,OK
92,180,4045.0,37,100.011564,OK
93,180,4191.0,38,90.01094,OK
94,180,4231.0,38,90.011469,OK
95,180,4028.0,39,100.011539,OK
96,180,4550.0,39,80.011417,OK
97,180,4347.0,38,90.01223,OK
98,180,4219.0,38,100.012013,OK
99,180,5231.0,40,100.011457,OK
100,180,4038.0,40,90.011178,OK
