Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,160,3834.0,46,100.01282,OK
2,160,4229.0,45,100.012467,OK
3,160,5131.0,43,100.012027,OK
4,160,4243.0,44,100.011759,OK
5,160,4285.0,44,100.011343,OK
6,160,4802.0,45,90.012615,OK
7,160,4001.0,43,100.011869,OK
8,160,4206.0,43,90.01252,OK
9,160,4688.0,45,100.011067,OK
10,160,4812.0,44,100.011675,OK
11,160,5327.0,42,80.010269,OK
12,160,4040.0,44,100.014138,OK
13,160,4790.0,42,80.010115,OK
14,160,4152.0,45,90.011279,OK
15,160,4671.0,43,90.011963,OK
16,160,4919.0,44,100.012457,OK
17,160,4867.0,44,100.011406,OK
18,160,4399.0,44,100.011413,OK
19,160,4969.0,45,100.013256,OK
20,160,3987.0,44,100.012158,OK
21,160,4611.0,42,100.012125,OK
22,160,4612.0,44,90.0115,OK
23,160,4214.0,43,80.012986,OK
24,160,4494.0,44,100.011842,OK
25,160,4030.0,43,100.01137,OK
26,160,4717.0,43,100.011565,OK
27,160,5115.0,44,80.011913,OK
28,160,4001.0,44,100.012363,OK
29,160,5085.0,44,100.012646,OK
30,160,4198.0,45,100.012758,OK
31,160,4657.0,45,90.012365,OK
32,160,4640.0,44,100.011241,OK
33,160,4435.0,44,90.013176,OK
34,160,4370.0,44,100.011291,OK
35,160,4717.0,45,100.01123,OK
36,160,3930.0,46,90.012613,OK
37,160,5018.0,43,100.011031,OK
38,160,5323.0,43,100.011438,OK
39,160,4668.0,44,100.015553,OK
40,160,4400.0,44,100.011017,OK
41,160,5107.0,46,90.011972,OK
42,160,4180.0,46,100.013017,OK
43,160,4687.0,44,90.011968,OK
44,160,4929.0,44,100.01221,OK
45,160,4418.0,43,90.011283,OK
46,160,4134.0,44,100.013005,OK
47,160,4392.0,42,100.011226,OK
48,160,4889.0,44,100.011202,OK
49,160,3961.0,45,100.012406,OK
50,160,4442.0,43,100.011548,OK
51,160,4388.0,45,90.01243,OK
52,160,4407.0,44,100.012609,OK
53,160,4894.0,44,100.010954,OK
54,160,4422.0,43,100.01113,OK
55,160,5470.0,45,100.01047,OK
56,160,4629.0,45,100.011434,OK
57,160,5244.0,43,90.01237,OK
58,160,5388.0,42,80.011498,OK
59,160,5356.0,44,80.011937,OK
60,160,5470.0,44,90.012411,OK
61,160,4108.0,43,100.011403,OK
62,160,4509.0,45,80.010891,OK
63,160,4176.0,43,100.012191,OK
64,160,3908.0,44,100.011147,OK
65,160,4424.0,44,100.012593,OK
66,160,4523.0,45,100.01168,OK
67,160,4162.0,45,90.012776,OK
68,160,4151.0,45,100.012075,OK
69,160,4706.0,43,100.012164,OK
70,160,4601.0,43,100.011206,OK
71,160,4175.0,44,100.012008,OK
72,160,4680.0,43,90.011785,OK
73,160,5398.0,44,90.011019,OK
74,160,4767.0,46,100.012013,OK
75,160,4062.0,42,100.01228,OK
76,160,5188.0,42,100.011067,OK
77,160,4283.0,44,90.011124,OK
78,160,4751.0,44,100.011714,OK
79,160,4930.0,44,90.010638,OK
80,160,4173.0,46,100.012472,OK
81,160,4209.0,43,100.011223,OK
82,160,4565.0,43,100.011913,OK
83,160,4944.0,42,100.010353,OK
84,160,4329.0,45,100.01203,OK
85,160,4786.0,45,100.01265,OK
86,160,4801.0,46,100.011681,OK
87,160,5321.0,42,100.01228,OK
88,160,4497.0,43,90.011517,OK
89,160,4300.0,43,100.012055,OK
90,160,4973.0,43,100.012022,OK
91,160,4593.0,45,90.012962,OK
92,160,4471.0,45,100.011311,OK
93,160,4377.0,42,90.011463,OK
94,160,4696.0,45,90.012928,OK
95,160,4391.0,45,100.011626,OK
96,160,4894.0,44,80.010659,OK
97,160,4824.0,46,90.013457,OK
98,160,4648.0,45,100.013671,OK
99,160,5850.0,44,100.012226,OK
100,160,4445.0,44,90.013134,OK
