Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,140,4240.0,55,100.013584,OK
2,140,4620.0,50,90.011361,OK
3,140,5898.0,51,100.012898,OK
4,140,4711.0,52,100.011746,OK
5,140,4855.0,52,100.01165,OK
6,140,5175.0,50,80.012,OK
7,140,4424.0,52,100.01431,OK
8,140,4612.0,51,90.011815,OK
9,140,5265.0,52,100.012378,OK
10,140,5372.0,50,100.011103,OK
11,140,6035.0,49,80.010354,OK
12,140,4497.0,53,100.011886,OK
13,140,5482.0,48,80.010049,OK
14,140,4531.0,51,90.012907,OK
15,140,5390.0,51,90.011726,OK
16,140,5676.0,51,100.01105,OK
17,140,5438.0,50,90.012416,OK
18,140,4904.0,51,100.011633,OK
19,140,5717.0,52,90.011323,OK
20,140,4516.0,51,100.011494,OK
21,140,5151.0,48,100.011563,OK
22,140,4993.0,53,90.012209,OK
23,140,4650.0,53,80.011475,OK
24,140,5125.0,50,100.012032,OK
25,140,4691.0,54,100.011891,OK
26,140,5236.0,51,100.011773,OK
27,140,5730.0,51,80.012026,OK
28,140,4373.0,51,100.012213,OK
29,140,5658.0,49,100.011836,OK
30,140,4561.0,52,90.012111,OK
31,140,5176.0,50,90.011498,OK
32,140,5150.0,50,90.011248,OK
33,140,4924.0,53,90.011863,OK
34,140,4846.0,51,100.013098,OK
35,140,5209.0,51,100.011949,OK
36,140,4431.0,51,90.0113,OK
37,140,5642.0,51,100.0128,OK
38,140,5919.0,51,100.011172,OK
39,140,5124.0,52,100.011859,OK
40,140,4831.0,55,100.01217,OK
41,140,5692.0,52,90.013532,OK
42,140,4669.0,53,100.012287,OK
43,140,5284.0,53,90.012349,OK
44,140,5471.0,51,100.011669,OK
45,140,4919.0,51,80.010994,OK
46,140,4588.0,52,100.011133,OK
47,140,4829.0,51,100.011751,OK
48,140,5300.0,52,100.011879,OK
49,140,4379.0,50,100.011546,OK
50,140,4907.0,51,100.012658,OK
51,140,4784.0,51,90.012545,OK
52,140,4810.0,51,100.012058,OK
53,140,5468.0,51,100.010861,OK
54,140,5018.0,50,100.012175,OK
55,140,6058.0,51,100.010536,OK
56,140,5226.0,52,100.013369,OK
57,140,5896.0,51,90.014149,OK
58,140,6059.0,51,80.01213,OK
59,140,5820.0,53,80.010419,OK
60,140,6015.0,51,90.011841,OK
61,140,4550.0,51,100.012236,OK
62,140,5009.0,50,80.011485,OK
63,140,4453.0,50,100.013471,OK
64,140,4277.0,52,100.011711,OK
65,140,4807.0,51,100.011663,OK
66,140,4989.0,53,100.011953,OK
67,140,4517.0,52,90.011257,OK
68,140,4736.0,54,100.012022,OK
69,140,5223.0,50,100.012042,OK
70,140,5200.0,51,100.013026,OK
71,140,4467.0,51,100.01291,OK
72,140,5294.0,51,90.012835,OK
73,140,6122.0,51,90.012517,OK
74,140,5150.0,53,100.012818,OK
75,140,4433.0,49,100.01211,OK
76,140,5903.0,51,100.012043,OK
77,140,4685.0,49,90.012991,OK
78,140,5330.0,50,100.013043,OK
79,140,5450.0,51,90.010056,OK
80,140,4438.0,53,100.012755,OK
81,140,4556.0,52,100.012238,OK
82,140,5041.0,47,100.011285,OK
83,140,5543.0,50,100.010254,OK
84,140,4730.0,50,100.011825,OK
85,140,5324.0,50,100.01216,OK
86,140,5395.0,53,100.011859,OK
87,140,6012.0,50,100.010978,OK
88,140,4950.0,51,90.011413,OK
89,140,4659.0,51,100.011317,OK
90,140,5653.0,50,100.011406,OK
91,140,5130.0,54,90.011781,OK
92,140,4899.0,52,100.011487,OK
93,140,4968.0,50,80.011064,OK
94,140,5452.0,53,90.011042,OK
95,140,4846.0,52,100.013012,OK
96,140,5530.0,52,80.010898,OK
97,140,5421.0,54,90.011668,OK
98,140,5115.0,50,100.012702,OK
99,140,6483.0,49,100.010555,OK
100,140,4917.0,51,90.011429,OK
