Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,120,4764.0,62,100.013141,OK
2,120,5297.0,60,90.01314,OK
3,120,6609.0,61,100.013498,OK
4,120,5195.0,60,100.012212,OK
5,120,5424.0,58,100.011702,OK
6,120,5878.0,60,80.01086,OK
7,120,4976.0,59,100.013202,OK
8,120,5194.0,59,90.011819,OK
9,120,5895.0,62,100.012045,OK
10,120,5902.0,62,100.012169,OK
11,120,6786.0,59,80.010888,OK
12,120,5005.0,60,100.013179,OK
13,120,6162.0,58,80.01103,OK
14,120,5207.0,60,90.012411,OK
15,120,6166.0,58,90.011901,OK
16,120,6301.0,59,100.012337,OK
17,120,6325.0,57,90.012748,OK
18,120,5784.0,62,100.012204,OK
19,120,6259.0,60,80.012747,OK
20,120,4974.0,60,100.012009,OK
21,120,5924.0,58,100.012016,OK
22,120,5887.0,64,90.011659,OK
23,120,5352.0,60,80.011303,OK
24,120,5758.0,60,100.012802,OK
25,120,5057.0,62,100.011662,OK
26,120,5898.0,58,90.01175,OK
27,120,6692.0,62,70.012341,OK
28,120,4914.0,58,100.011584,OK
29,120,6500.0,59,100.012661,OK
30,120,5074.0,59,80.013776,OK
31,120,5807.0,62,90.011227,OK
32,120,5802.0,59,90.011735,OK
33,120,5582.0,61,90.013066,OK
34,120,5489.0,63,100.011088,OK
35,120,6017.0,61,100.013292,OK
36,120,4861.0,60,90.012139,OK
37,120,6531.0,60,90.013272,OK
38,120,6801.0,60,90.013489,OK
39,120,5806.0,61,90.012339,OK
40,120,5402.0,60,100.011336,OK
41,120,6470.0,59,90.011625,OK
42,120,5282.0,61,100.012294,OK
43,120,5899.0,60,90.012646,OK
44,120,6190.0,59,100.012403,OK
45,120,5418.0,61,80.012178,OK
46,120,5136.0,61,100.011919,OK
47,120,5396.0,59,100.011744,OK
48,120,6165.0,63,100.012556,OK
49,120,4907.0,60,100.013225,OK
50,120,5588.0,60,100.01167,OK
51,120,5412.0,59,90.012965,OK
52,120,5444.0,59,100.012897,OK
53,120,6264.0,60,100.01233,OK
54,120,5722.0,61,100.013721,OK
55,120,6839.0,57,100.012897,OK
56,120,5685.0,59,100.012981,OK
57,120,6724.0,58,90.011067,OK
58,120,6922.0,58,80.013466,OK
59,120,6609.0,61,80.01037,OK
60,120,6721.0,60,90.015318,OK
61,120,5134.0,60,100.012716,OK
62,120,5676.0,61,80.012449,OK
63,120,5128.0,59,100.013855,OK
64,120,4786.0,61,100.01331,OK
65,120,5558.0,60,100.012024,OK
66,120,5634.0,63,100.012695,OK
67,120,5046.0,60,90.011873,OK
68,120,5274.0,60,100.011972,OK
69,120,6069.0,62,100.012753,OK
70,120,5678.0,60,100.014607,OK
71,120,5057.0,61,100.012627,OK
72,120,5912.0,60,90.012708,OK
73,120,6745.0,59,80.011664,OK
74,120,5897.0,61,100.013028,OK
75,120,5055.0,59,100.013301,OK
76,120,6825.0,61,100.012753,OK
77,120,5244.0,57,90.013343,OK
78,120,5942.0,59,100.011558,OK
79,120,6082.0,59,90.01054,OK
80,120,4993.0,61,100.01215,OK
81,120,5111.0,60,100.011356,OK
82,120,5630.0,61,100.012037,OK
83,120,6287.0,60,100.010741,OK
84,120,5240.0,58,100.013093,OK
85,120,5919.0,61,100.013414,OK
86,120,6162.0,63,100.012955,OK
87,120,6759.0,59,100.012156,OK
88,120,5523.0,58,90.011064,OK
89,120,5285.0,58,100.012636,OK
90,120,6374.0,61,100.013012,OK
91,120,5543.0,60,90.013884,OK
92,120,5521.0,62,100.011856,OK
93,120,5711.0,60,80.011749,OK
94,120,6097.0,59,80.014391,OK
95,120,5530.0,60,100.011673,OK
96,120,6348.0,59,80.010791,OK
97,120,6111.0,63,90.012132,OK
98,120,5780.0,60,100.014287,OK
99,120,7403.0,60,100.012203,OK
100,120,5622.0,61,90.011398,OK
