Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,200,3520.0,35,0.053479,OK
2,200,3838.0,36,0.05957,OK
3,200,4466.0,35,0.062681,OK
4,200,3797.0,35,0.05986,OK
5,200,3808.0,35,0.064186,OK
6,200,4229.0,35,0.068594,OK
7,200,3541.0,36,0.055073,OK
8,200,3812.0,36,0.066791,OK
9,200,3967.0,34,0.066494,OK
10,200,4155.0,35,0.064302,OK
11,200,4805.0,35,0.080903,OK
12,200,3581.0,37,0.055877,OK
13,200,4483.0,32,0.066136,OK
14,200,3850.0,36,0.059657,OK
15,200,4104.0,34,0.061047,OK
16,200,4307.0,35,0.065337,OK
17,200,4438.0,34,0.06256,OK
18,200,4058.0,35,0.056708,OK
19,200,4475.0,33,0.072887,OK
20,200,3587.0,36,0.059041,OK
21,200,4145.0,33,0.068191,OK
22,200,4084.0,35,0.070078,OK
23,200,3840.0,35,0.065698,OK
24,200,4022.0,35,0.062875,OK
25,200,3758.0,35,0.055587,OK
26,200,4171.0,36,0.058833,OK
27,200,4589.0,36,0.090751,OK
28,200,3481.0,36,0.062893,OK
29,200,4398.0,34,0.066424,OK
30,200,3669.0,33,0.059661,OK
31,200,4171.0,36,0.064224,OK
32,200,4176.0,35,0.070994,OK
33,200,3918.0,35,0.058059,OK
34,200,3802.0,36,0.058491,OK
35,200,4287.0,35,0.063633,OK
36,200,3601.0,36,0.061193,OK
37,200,4556.0,33,0.07847,OK
38,200,4465.0,35,0.064291,OK
39,200,4098.0,35,0.058827,OK
40,200,3854.0,36,0.063315,OK
41,200,4366.0,32,0.058283,OK
42,200,3895.0,35,0.057708,OK
43,200,4200.0,36,0.062363,OK
44,200,4193.0,35,0.054913,OK
45,200,3816.0,35,0.07426,OK
46,200,3848.0,35,0.055513,OK
47,200,3770.0,35,0.062483,OK
48,200,4238.0,33,0.054784,OK
49,200,3624.0,34,0.058252,OK
50,200,3942.0,36,0.058379,OK
51,200,4177.0,34,0.055871,OK
52,200,3768.0,35,0.053605,OK
53,200,4533.0,35,0.085229,OK
54,200,3927.0,33,0.056854,OK
55,200,4698.0,34,0.071276,OK
56,200,4055.0,33,0.060412,OK
57,200,4653.0,34,0.067265,OK
58,200,4616.0,34,0.071253,OK
59,200,4699.0,36,0.059816,OK
60,200,4900.0,35,0.062566,OK
61,200,3885.0,35,0.053014,OK
62,200,3874.0,35,0.066616,OK
63,200,3627.0,34,0.05804,OK
64,200,3557.0,36,0.054769,OK
65,200,3880.0,35,0.055848,OK
66,200,4070.0,34,0.064077,OK
67,200,3681.0,35,0.056659,OK
68,200,3653.0,35,0.05515,OK
69,200,4254.0,36,0.062265,OK
70,200,3938.0,35,0.067949,OK
71,200,3739.0,34,0.053432,OK
72,200,4190.0,36,0.061464,OK
73,200,4563.0,37,0.070696,OK
74,200,4043.0,34,0.067864,OK
75,200,3769.0,35,0.056565,OK
76,200,4574.0,33,0.062167,OK
77,200,3837.0,36,0.068874,OK
78,200,4021.0,36,0.054548,OK
79,200,4219.0,35,0.071102,OK
80,200,3553.0,34,0.05603,OK
81,200,3734.0,34,0.059429,OK
82,200,4016.0,35,0.065003,OK
83,200,4300.0,35,0.092483,OK
84,200,3764.0,34,0.069514,OK
85,200,4314.0,34,0.071866,OK
86,200,4064.0,35,0.059362,OK
87,200,4698.0,36,0.091343,OK
88,200,4039.0,36,0.056211,OK
89,200,3847.0,35,0.057365,OK
90,200,4375.0,34,0.058801,OK
91,200,3976.0,35,0.067777,OK
92,200,3977.0,35,0.056911,OK
93,200,3895.0,34,0.066175,OK
94,200,4193.0,35,0.083053,OK
95,200,3936.0,35,0.057818,OK
96,200,4338.0,34,0.063838,OK
97,200,4099.0,34,0.073033,OK
98,200,4046.0,35,0.053723,OK
99,200,4899.0,35,0.078546,OK
100,200,3929.0,36,0.063479,OK
