Dataset,Capacity,Cost,VehiclesUsed,TimeSeconds,Status
1,120,4987.0,59,0.065277,OK
2,120,5321.0,60,0.061869,OK
3,120,6798.0,59,0.072101,OK
4,120,5298.0,60,0.06242,OK
5,120,5475.0,58,0.063974,OK
6,120,5976.0,59,0.075618,OK
7,120,4999.0,58,0.053203,OK
8,120,5263.0,59,0.066337,OK
9,120,5983.0,60,0.076239,OK
10,120,5989.0,60,0.077661,OK
11,120,6859.0,60,0.078946,OK
12,120,5059.0,59,0.056798,OK
13,120,6205.0,58,0.068837,OK
14,120,5217.0,60,0.060416,OK
15,120,6251.0,57,0.070905,OK
16,120,6350.0,59,0.077564,OK
17,120,6351.0,58,0.064541,OK
18,120,5897.0,61,0.064772,OK
19,120,6385.0,59,0.068447,OK
20,120,5078.0,59,0.06401,OK
21,120,5991.0,58,0.072156,OK
22,120,5964.0,62,0.065574,OK
23,120,5383.0,59,0.078395,OK
24,120,5811.0,58,0.060748,OK
25,120,5106.0,60,0.057889,OK
26,120,6005.0,56,0.06657,OK
27,120,6770.0,60,0.078284,OK
28,120,4953.0,58,0.067274,OK
29,120,6542.0,58,0.06982,OK
30,120,5130.0,59,0.063508,OK
31,120,5939.0,61,0.07087,OK
32,120,5812.0,58,0.079371,OK
33,120,5612.0,59,0.060824,OK
34,120,5563.0,59,0.065023,OK
35,120,6180.0,58,0.062956,OK
36,120,4961.0,59,0.05726,OK
37,120,6618.0,59,0.073698,OK
38,120,6991.0,61,0.072141,OK
39,120,5921.0,61,0.060434,OK
40,120,5486.0,59,0.060899,OK
41,120,6650.0,59,0.069688,OK
42,120,5312.0,60,0.060755,OK
43,120,6104.0,58,0.069216,OK
44,120,6249.0,59,0.057238,OK
45,120,5451.0,61,0.066931,OK
46,120,5180.0,59,0.058355,OK
47,120,5464.0,59,0.064966,OK
48,120,6204.0,61,0.056375,OK
49,120,4961.0,58,0.071071,OK
50,120,5670.0,60,0.063797,OK
51,120,5558.0,58,0.055572,OK
52,120,5463.0,58,0.062973,OK
53,120,6531.0,58,0.081527,OK
54,120,5787.0,59,0.070965,OK
55,120,6985.0,58,0.077042,OK
56,120,5699.0,58,0.064885,OK
57,120,6869.0,59,0.070254,OK
58,120,6972.0,56,0.079428,OK
59,120,6947.0,58,0.063328,OK
60,120,6925.0,57,0.064761,OK
61,120,5301.0,60,0.061295,OK
62,120,5774.0,60,0.076017,OK
63,120,5201.0,58,0.05473,OK
64,120,4904.0,61,0.058174,OK
65,120,5619.0,60,0.059484,OK
66,120,5916.0,60,0.061427,OK
67,120,5080.0,59,0.055842,OK
68,120,5353.0,58,0.059704,OK
69,120,6148.0,60,0.06469,OK
70,120,5792.0,61,0.061209,OK
71,120,5146.0,59,0.062237,OK
72,120,5940.0,59,0.063388,OK
73,120,6770.0,59,0.078598,OK
74,120,5958.0,61,0.080826,OK
75,120,5165.0,58,0.064476,OK
76,120,6888.0,61,0.089138,OK
77,120,5296.0,56,0.073022,OK
78,120,6174.0,58,0.06188,OK
79,120,6094.0,58,0.109315,OK
80,120,5020.0,59,0.068904,OK
81,120,5145.0,61,0.0758,OK
82,120,5716.0,61,0.081674,OK
83,120,6364.0,59,0.090975,OK
84,120,5307.0,57,0.061606,OK
85,120,5937.0,59,0.074159,OK
86,120,6265.0,60,0.074833,OK
87,120,6852.0,58,0.079974,OK
88,120,5569.0,58,0.060377,OK
89,120,5285.0,58,0.065371,OK
90,120,6441.0,61,0.064284,OK
91,120,5608.0,58,0.084215,OK
92,120,5579.0,60,0.064025,OK
93,120,5785.0,58,0.071318,OK
94,120,6153.0,59,0.084307,OK
95,120,5562.0,60,0.058964,OK
96,120,6464.0,59,0.073166,OK
97,120,6193.0,61,0.075559,OK
98,120,5827.0,58,0.060289,OK
99,120,7432.0,60,0.078068,OK
100,120,5896.0,60,0.073741,OK
