Dataset,Computation_Time_Seconds,Status,Total_Cost,Feasible_Subsets,Total_Subsets,N_Subsets_Used
1,8.387034,Optimal,5170.508453,10868,166750,69
2,7.689779,Optimal,5836.375794,10868,166750,68
3,8.002048,Optimal,7390.500898,10868,166750,66
4,7.745214,Optimal,5716.551718,10868,166750,67
5,7.86201,Optimal,6337.34693,10868,166750,70
6,8.051839,Optimal,6638.783097,10868,166750,67
7,7.72497,Optimal,5534.898091,10868,166750,69
8,7.848616,Optimal,5648.139398,10868,166750,67
9,7.607267,Optimal,6721.683351,10868,166750,68
10,7.841714,Optimal,6561.94623,10868,166750,69
11,7.603014,Optimal,7712.495036,10868,166750,67
12,7.757639,Optimal,5452.416079,10868,166750,67
13,7.723574,Optimal,6916.694868,10868,166750,68
14,7.73291,Optimal,5784.592996,10868,166750,67
15,7.510329,Optimal,6854.064527,10868,166750,68
16,7.599513,Optimal,7104.21062,10868,166750,67
17,7.764017,Optimal,7178.594873,10868,166750,70
18,7.616023,Optimal,6341.790245,10868,166750,69
19,7.56158,Optimal,7144.565803,10868,166750,68
20,7.798259,Optimal,5615.695878,10868,166750,66
21,7.617666,Optimal,6653.26792,10868,166750,68
22,7.857933,Optimal,6102.257025,10868,166750,68
23,7.566696,Optimal,5901.277343,10868,166750,67
24,7.881825,Optimal,6480.440012,10868,166750,68
25,7.829364,Optimal,5634.293014,10868,166750,67
26,7.740218,Optimal,6601.787357,10868,166750,68
27,8.142856,Optimal,7281.442589,10868,166750,68
28,7.649697,Optimal,5617.553402,10868,166750,68
29,7.693114,Optimal,7331.516282,10868,166750,66
30,7.714734,Optimal,5568.433096,10868,166750,69
31,7.657212,Optimal,6333.469217,10868,166750,68
32,7.359542,Optimal,6336.767171,10868,166750,68
33,7.696905,Optimal,6186.256272,10868,166750,70
34,7.59637,Optimal,5899.661793,10868,166750,70
35,7.860044,Optimal,6561.689875,10868,166750,67
36,7.83643,Optimal,5361.206669,10868,166750,71
37,7.945158,Optimal,7273.0302,10868,166750,66
38,7.720741,Optimal,7377.243988,10868,166750,68
39,7.700122,Optimal,6272.62382,10868,166750,66
40,7.761144,Optimal,5845.041895,10868,166750,68
41,7.645454,Optimal,7125.974175,10868,166750,68
42,7.797783,Optimal,5803.62823,10868,166750,69
43,7.354291,Optimal,6426.053475,10868,166750,67
44,7.650853,Optimal,6775.202866,10868,166750,68
45,7.672358,Optimal,6191.546353,10868,166750,68
46,7.782616,Optimal,5688.16254,10868,166750,67
47,7.615722,Optimal,6068.629235,10868,166750,67
48,7.905281,Optimal,6660.409993,10868,166750,68
49,7.735185,Optimal,5324.372592,10868,166750,68
50,7.797108,Optimal,6201.96274,10868,166750,68
51,8.004182,Optimal,5988.065725,10868,166750,68
52,7.502706,Optimal,6028.216339,10868,166750,69
53,7.74176,Optimal,7004.859203,10868,166750,69
54,7.796828,Optimal,6106.34848,10868,166750,69
55,7.735615,Optimal,8041.402671,10868,166750,68
56,8.060625,Optimal,6278.20747,10868,166750,68
57,7.735433,Optimal,7536.438875,10868,166750,67
58,7.858887,Optimal,7960.476378,10868,166750,66
59,8.145597,Optimal,7519.706055,10868,166750,67
60,7.652665,Optimal,7505.589146,10868,166750,67
61,7.602636,Optimal,5758.465847,10868,166750,68
62,7.704982,Optimal,6402.854714,10868,166750,67
63,7.638792,Optimal,5864.397894,10868,166750,68
64,7.781204,Optimal,5184.839394,10868,166750,68
65,7.774001,Optimal,6016.403076,10868,166750,69
66,8.00899,Optimal,6246.004752,10868,166750,67
67,7.72913,Optimal,5429.803423,10868,166750,68
68,7.677991,Optimal,5705.276024,10868,166750,69
69,7.789105,Optimal,6572.439992,10868,166750,69
70,7.510439,Optimal,6273.593749,10868,166750,69
71,7.671341,Optimal,5643.165343,10868,166750,71
72,7.712858,Optimal,6605.388095,10868,166750,70
73,7.833705,Optimal,7597.503762,10868,166750,67
74,7.530818,Optimal,6416.217235,10868,166750,68
75,7.76051,Optimal,5698.836832,10868,166750,70
76,7.84811,Optimal,7597.338671,10868,166750,68
77,7.526512,Optimal,5881.371552,10868,166750,69
78,7.652845,Optimal,6471.854251,10868,166750,69
79,7.561952,Optimal,6832.054669,10868,166750,66
80,7.432551,Optimal,5382.790942,10868,166750,69
81,7.661298,Optimal,5729.642576,10868,166750,67
82,8.091866,Optimal,6267.405225,10868,166750,67
83,7.382427,Optimal,6835.199172,10868,166750,68
84,7.676246,Optimal,5784.119967,10868,166750,68
85,7.788457,Optimal,6570.71992,10868,166750,69
86,7.639241,Optimal,6471.987101,10868,166750,69
87,7.749331,Optimal,7487.346681,10868,166750,65
88,7.760981,Optimal,6015.373919,10868,166750,67
89,7.613327,Optimal,5856.125059,10868,166750,68
90,8.24941,Optimal,6926.99344,10868,166750,66
91,7.75936,Optimal,6314.154937,10868,166750,70
92,7.671986,Optimal,6217.595729,10868,166750,69
93,7.71443,Optimal,6465.623026,10868,166750,67
94,7.595721,Optimal,6854.730235,10868,166750,67
95,7.740893,Optimal,6027.834683,10868,166750,67
96,7.801951,Optimal,7152.756945,10868,166750,68
97,7.740859,Optimal,6571.293196,10868,166750,67
98,7.853958,Optimal,6471.721765,10868,166750,68
99,8.08014,Optimal,8110.52171,10868,166750,67
100,7.798888,Optimal,6289.927841,10868,166750,69
