Dataset,Computation_Time_Seconds,Status,Total_Cost,Feasible_Subsets,Total_Subsets,N_Subsets_Used
1,167.425782,Optimal,3841.774584,69746,166750,45
2,162.403663,Optimal,4221.807178,69746,166750,43
3,167.444417,Optimal,5139.555178,69746,166750,42
4,165.326246,Optimal,4102.336881,69746,166750,43
5,163.28753,Optimal,4277.735467,69746,166750,42
6,164.103841,Optimal,4752.073316,69746,166750,42
7,163.833093,Optimal,3937.948327,69746,166750,43
8,160.659939,Optimal,4059.498814,69746,166750,43
9,165.336484,Optimal,4607.507326,69746,166750,43
10,161.463909,Optimal,4747.473873,69746,166750,43
11,166.077715,Optimal,5273.730744,69746,166750,43
12,164.651495,Optimal,3946.444798,69746,166750,44
13,164.15767,Optimal,4867.980702,69746,166750,43
14,164.522562,Optimal,4094.245001,69746,166750,43
15,168.66022,Optimal,4778.077114,69746,166750,43
16,163.558213,Optimal,4939.648256,69746,166750,42
17,166.473273,Optimal,4930.368201,69746,166750,43
18,159.807489,Optimal,4444.884238,69746,166750,43
19,164.35862,Optimal,4991.19426,69746,166750,44
20,161.102642,Optimal,4015.682671,69746,166750,43
21,162.910084,Optimal,4608.984435,69746,166750,44
22,165.653605,Optimal,4496.534619,69746,166750,43
23,164.224883,Optimal,4202.339974,69746,166750,43
24,161.542491,Optimal,4427.107171,69746,166750,43
25,163.447822,Optimal,4046.893736,69746,166750,45
26,165.645813,Optimal,4619.535336,69746,166750,42
27,163.870859,Optimal,4919.400465,69746,166750,42
28,160.583244,Optimal,4000.823444,69746,166750,44
29,164.313925,Optimal,5032.627957,69746,166750,42
30,163.767257,Optimal,4153.692164,69746,166750,44
31,164.471652,Optimal,4439.793153,69746,166750,43
32,161.828623,Optimal,4548.490051,69746,166750,42
33,163.661358,Optimal,4374.2409,69746,166750,43
34,161.378484,Optimal,4214.162709,69746,166750,44
35,164.899408,Optimal,4524.594747,69746,166750,41
36,166.901255,Optimal,3946.311678,69746,166750,44
37,167.671919,Optimal,4996.821059,69746,166750,42
38,168.166665,Optimal,5070.313969,69746,166750,43
39,164.04672,Optimal,4568.291351,69746,166750,43
40,167.585431,Optimal,4387.045031,69746,166750,42
41,165.686651,Optimal,5144.076504,69746,166750,44
42,161.258696,Optimal,4123.623342,69746,166750,45
43,168.177011,Optimal,4599.458689,69746,166750,44
44,163.46995,Optimal,4804.383596,69746,166750,43
45,164.01555,Optimal,4437.070277,69746,166750,43
46,164.007272,Optimal,4086.051438,69746,166750,43
47,165.58343,Optimal,4348.013381,69746,166750,44
48,163.762805,Optimal,4692.760863,69746,166750,44
49,163.47121,Optimal,3942.162722,69746,166750,43
50,165.824789,Optimal,4349.296973,69746,166750,42
51,163.687998,Optimal,4294.260495,69746,166750,45
52,166.645402,Optimal,4297.629209,69746,166750,43
53,166.125132,Optimal,4931.085349,69746,166750,44
54,163.648269,Optimal,4447.056119,69746,166750,44
55,168.432533,Optimal,5433.408395,69746,166750,44
56,170.674218,Optimal,4542.033492,69746,166750,44
57,167.442658,Optimal,5088.66675,69746,166750,42
58,167.03221,Optimal,5317.189663,69746,166750,41
59,165.690779,Optimal,5147.891739,69746,166750,44
60,164.126814,Optimal,5258.44943,69746,166750,43
61,168.035107,Optimal,4137.174775,69746,166750,44
62,162.456966,Optimal,4432.028643,69746,166750,44
63,164.456657,Optimal,4135.999817,69746,166750,43
64,175.712888,Optimal,3848.23534,69746,166750,44
65,161.442175,Optimal,4362.020932,69746,166750,44
66,165.658569,Optimal,4476.118457,69746,166750,44
67,163.355302,Optimal,4071.279592,69746,166750,43
68,163.009677,Optimal,4134.681563,69746,166750,44
69,165.052001,Optimal,4623.885918,69746,166750,43
70,163.866443,Optimal,4437.290625,69746,166750,43
71,165.913848,Optimal,4129.826228,69746,166750,41
72,166.503387,Optimal,4624.570006,69746,166750,43
73,164.463271,Optimal,5329.873394,69746,166750,43
74,162.864805,Optimal,4639.957148,69746,166750,44
75,164.443204,Optimal,4008.416511,69746,166750,43
76,172.810728,Optimal,5254.706785,69746,166750,43
77,165.684741,Optimal,4332.139975,69746,166750,43
78,161.144478,Optimal,4634.712226,69746,166750,42
79,165.143151,Optimal,4849.971549,69746,166750,41
80,164.133244,Optimal,4099.682802,69746,166750,43
81,164.261732,Optimal,4097.802571,69746,166750,42
82,164.798829,Optimal,4482.506793,69746,166750,44
83,166.510402,Optimal,4809.100664,69746,166750,42
84,162.855344,Optimal,4167.938929,69746,166750,43
85,163.173733,Optimal,4670.601571,69746,166750,43
86,164.043714,Optimal,4495.358088,69746,166750,43
87,161.686206,Optimal,5210.396155,69746,166750,42
88,165.914249,Optimal,4439.137587,69746,166750,45
89,167.352154,Optimal,4261.732016,69746,166750,45
90,166.09536,Optimal,4922.943178,69746,166750,45
91,162.271755,Optimal,4512.061235,69746,166750,44
92,166.263016,Optimal,4339.574451,69746,166750,45
93,168.222154,Optimal,4373.928042,69746,166750,42
94,167.871439,Optimal,4758.154481,69746,166750,43
95,163.956389,Optimal,4308.1514,69746,166750,42
96,165.021063,Optimal,4927.529536,69746,166750,43
97,166.47379,Optimal,4723.930328,69746,166750,42
98,161.41094,Optimal,4520.631285,69746,166750,43
99,166.921349,Optimal,5552.972211,69746,166750,40
100,164.951973,Optimal,4507.311321,69746,166750,45
