Dataset,Computation_Time_Seconds,Status,Total_Cost,Feasible_Subsets,Total_Subsets,N_Subsets_Used
1,310.104846,Optimal,3585.557417,97773,166750,39
2,307.515666,Optimal,3852.983689,97773,166750,39
3,313.180939,Optimal,4848.560889,97773,166750,39
4,313.21031,Optimal,3870.592955,97773,166750,38
5,319.874445,Optimal,4113.98433,97773,166750,39
6,313.527565,Optimal,4449.370248,97773,166750,38
7,309.170089,Optimal,3741.415375,97773,166750,37
8,310.241418,Optimal,3821.646694,97773,166750,39
9,310.922454,Optimal,4305.382624,97773,166750,40
10,311.385641,Optimal,4333.86219,97773,166750,38
11,311.581431,Optimal,4896.475972,97773,166750,41
12,311.269433,Optimal,3675.733332,97773,166750,39
13,306.59999,Optimal,4526.437997,97773,166750,39
14,312.244703,Optimal,3831.068905,97773,166750,39
15,314.963639,Optimal,4468.982206,97773,166750,40
16,314.569318,Optimal,4552.429093,97773,166750,38
17,308.762251,Optimal,4589.967439,97773,166750,39
18,308.602401,Optimal,4231.833928,97773,166750,40
19,317.093109,Optimal,4713.339297,97773,166750,39
20,310.81111,Optimal,3789.705931,97773,166750,38
21,314.368431,Optimal,4358.449427,97773,166750,39
22,311.140385,Optimal,4124.697858,97773,166750,39
23,310.837548,Optimal,4031.012405,97773,166750,40
24,310.34892,Optimal,4100.182707,97773,166750,39
25,308.286831,Optimal,3861.462815,97773,166750,39
26,314.411554,Optimal,4266.381457,97773,166750,39
27,312.13186,Optimal,4539.080372,97773,166750,38
28,313.052842,Optimal,3787.894755,97773,166750,39
29,321.256151,Optimal,4709.711776,97773,166750,38
30,310.3504,Optimal,3912.079464,97773,166750,38
31,311.990009,Optimal,4135.987096,97773,166750,38
32,304.822104,Optimal,4182.652178,97773,166750,38
33,311.990694,Optimal,4072.418402,97773,166750,40
34,308.859525,Optimal,3906.925994,97773,166750,38
35,317.733251,Optimal,4219.878554,97773,166750,38
36,311.483468,Optimal,3759.667743,97773,166750,41
37,314.369421,Optimal,4722.920928,97773,166750,38
38,309.165499,Optimal,4804.978279,97773,166750,40
39,312.714783,Optimal,4256.533344,97773,166750,41
40,306.35923,Optimal,4088.359277,97773,166750,39
41,310.326993,Optimal,4746.059559,97773,166750,39
42,307.66427,Optimal,3911.364648,97773,166750,41
43,305.480657,Optimal,4247.552439,97773,166750,40
44,310.683196,Optimal,4381.158985,97773,166750,39
45,311.308274,Optimal,4063.034473,97773,166750,39
46,320.028649,Optimal,3823.339381,97773,166750,39
47,320.21261,Optimal,4029.52118,97773,166750,38
48,311.256046,Optimal,4351.382116,97773,166750,37
49,306.245149,Optimal,3666.143747,97773,166750,40
50,317.734348,Optimal,4053.093855,97773,166750,38
51,309.676152,Optimal,4042.073949,97773,166750,39
52,313.359817,Optimal,4005.715348,97773,166750,41
53,315.443981,Optimal,4669.597264,97773,166750,39
54,311.979025,Optimal,4167.261681,97773,166750,40
55,307.093946,Optimal,5096.998999,97773,166750,40
56,317.330226,Optimal,4294.881458,97773,166750,38
57,310.599562,Optimal,4764.447517,97773,166750,38
58,316.599395,Optimal,4996.777729,97773,166750,39
59,313.588349,Optimal,4904.02149,97773,166750,41
60,317.647983,Optimal,4947.514581,97773,166750,39
61,305.929804,Optimal,3859.609697,97773,166750,40
62,315.706512,Optimal,4144.265597,97773,166750,39
63,311.559563,Optimal,3820.211089,97773,166750,40
64,307.026331,Optimal,3595.977899,97773,166750,41
65,306.469772,Optimal,4104.426852,97773,166750,39
66,315.606707,Optimal,4281.531846,97773,166750,39
67,317.614817,Optimal,3863.508689,97773,166750,39
68,306.295178,Optimal,3850.305846,97773,166750,40
69,311.270404,Optimal,4339.131883,97773,166750,39
70,312.044748,Optimal,4171.522228,97773,166750,39
71,310.976947,Optimal,3872.898743,97773,166750,39
72,311.138005,Optimal,4378.675561,97773,166750,39
73,308.357881,Optimal,4879.231839,97773,166750,39
74,314.169081,Optimal,4271.519138,97773,166750,39
75,313.843277,Optimal,3820.989157,97773,166750,39
76,313.23071,Optimal,4839.817978,97773,166750,40
77,312.154778,Optimal,4044.969743,97773,166750,41
78,314.498768,Optimal,4292.806323,97773,166750,39
79,315.197126,Optimal,4490.013853,97773,166750,39
80,309.317455,Optimal,3775.337952,97773,166750,39
81,313.837232,Optimal,3818.954799,97773,166750,39
82,310.592344,Optimal,4125.815545,97773,166750,40
83,311.406747,Optimal,4453.452172,97773,166750,38
84,314.450892,Optimal,3866.540406,97773,166750,39
85,316.436614,Optimal,4291.351742,97773,166750,40
86,309.360878,Optimal,4200.663239,97773,166750,39
87,314.492801,Optimal,4819.216572,97773,166750,37
88,314.824538,Optimal,4075.589975,97773,166750,38
89,313.965689,Optimal,3946.90747,97773,166750,40
90,311.141174,Optimal,4548.377177,97773,166750,39
91,316.102041,Optimal,4216.414868,97773,166750,38
92,315.539022,Optimal,4028.345476,97773,166750,38
93,316.7144,Optimal,4135.631658,97773,166750,38
94,307.13943,Optimal,4391.615375,97773,166750,39
95,308.777249,Optimal,4020.098647,97773,166750,37
96,309.201968,Optimal,4618.535786,97773,166750,39
97,309.99314,Optimal,4365.192657,97773,166750,39
98,310.086138,Optimal,4213.97697,97773,166750,39
99,347.706538,Optimal,5214.023845,97773,166750,38
100,308.534517,Optimal,4165.577982,97773,166750,40
