Dataset,Computation_Time_Seconds,Status,Total_Cost,Feasible_Subsets,Total_Subsets,N_Subsets_Used
1,494.00892,Optimal,3485.931797,124176,166750,38
2,493.192295,Optimal,3710.9539,124176,166750,38
3,486.51163,Optimal,4697.040873,124176,166750,37
4,493.154617,Optimal,3752.333016,124176,166750,39
5,494.261061,Optimal,3898.11785,124176,166750,37
6,492.804469,Optimal,4248.427779,124176,166750,37
7,492.878442,Optimal,3600.696377,124176,166750,36
8,495.551829,Optimal,3701.970921,124176,166750,38
9,487.65103,Optimal,3997.444631,124176,166750,38
10,489.397208,Optimal,4136.884196,124176,166750,37
11,492.130805,Optimal,4656.119917,124176,166750,38
12,491.729371,Optimal,3564.330628,124176,166750,39
13,499.604189,Optimal,4414.107205,124176,166750,37
14,486.230168,Optimal,3733.908628,124176,166750,36
15,492.971533,Optimal,4238.400714,124176,166750,37
16,488.103461,Optimal,4396.751729,124176,166750,37
17,497.375257,Optimal,4380.9108,124176,166750,36
18,484.53926,Optimal,4080.506013,124176,166750,38
19,484.787284,Optimal,4527.142268,124176,166750,37
20,487.066873,Optimal,3621.516167,124176,166750,38
21,494.99399,Optimal,4237.278641,124176,166750,36
22,487.386788,Optimal,4018.472682,124176,166750,39
23,485.948609,Optimal,3858.421364,124176,166750,37
24,495.81609,Optimal,3893.147923,124176,166750,37
25,491.483493,Optimal,3729.34534,124176,166750,38
26,490.18061,Optimal,4143.233485,124176,166750,36
27,495.471136,Optimal,4415.64322,124176,166750,37
28,488.870354,Optimal,3566.160127,124176,166750,37
29,497.089954,Optimal,4486.306703,124176,166750,36
30,488.680351,Optimal,3744.096272,124176,166750,37
31,492.126547,Optimal,4023.876426,124176,166750,38
32,482.064719,Optimal,4023.813399,124176,166750,36
33,492.098027,Optimal,3885.977811,124176,166750,37
34,493.88699,Optimal,3806.155132,124176,166750,37
35,494.443961,Optimal,4095.693768,124176,166750,36
36,490.96918,Optimal,3661.946451,124176,166750,37
37,497.028586,Optimal,4615.061923,124176,166750,37
38,523.385308,Optimal,4624.599089,124176,166750,38
39,493.164736,Optimal,4054.300828,124176,166750,38
40,493.636285,Optimal,3946.720779,124176,166750,38
41,504.432604,Optimal,4594.762229,124176,166750,37
42,484.735006,Optimal,3772.081886,124176,166750,37
43,486.947734,Optimal,4101.45401,124176,166750,38
44,491.855931,Optimal,4269.725482,124176,166750,37
45,499.727232,Optimal,3967.129714,124176,166750,38
46,493.876903,Optimal,3717.893919,124176,166750,38
47,498.859701,Optimal,3837.840421,124176,166750,35
48,485.206029,Optimal,4212.137455,124176,166750,37
49,494.869632,Optimal,3537.889403,124176,166750,39
50,492.148978,Optimal,3884.053424,124176,166750,35
51,489.690813,Optimal,3906.351749,124176,166750,38
52,483.358521,Optimal,3711.582993,124176,166750,37
53,498.306897,Optimal,4558.984305,124176,166750,36
54,483.327113,Optimal,3952.872628,124176,166750,35
55,497.841269,Optimal,4804.466117,124176,166750,37
56,497.734896,Optimal,4135.506036,124176,166750,37
57,492.744482,Optimal,4521.962153,124176,166750,36
58,515.574798,Optimal,4823.460195,124176,166750,36
59,505.914067,Optimal,4748.732835,124176,166750,39
60,502.016084,Optimal,4745.917599,124176,166750,37
61,495.387541,Optimal,3764.410728,124176,166750,38
62,490.080557,Optimal,3978.475277,124176,166750,36
63,492.239265,Optimal,3686.333504,124176,166750,36
64,483.366098,Optimal,3483.491299,124176,166750,38
65,490.679832,Optimal,3920.977787,124176,166750,38
66,502.838231,Optimal,4137.274263,124176,166750,38
67,484.637219,Optimal,3633.925021,124176,166750,37
68,497.680995,Optimal,3723.063012,124176,166750,39
69,492.101295,Optimal,4120.014887,124176,166750,37
70,489.865845,Optimal,3947.909289,124176,166750,36
71,490.259749,Optimal,3715.447814,124176,166750,37
72,486.935272,Optimal,4193.324148,124176,166750,36
73,502.490669,Optimal,4672.8047,124176,166750,38
74,502.785664,Optimal,4077.945623,124176,166750,36
75,499.050909,Optimal,3648.162523,124176,166750,37
76,501.793481,Optimal,4564.153181,124176,166750,38
77,488.210765,Optimal,3842.349914,124176,166750,38
78,490.059357,Optimal,4127.511185,124176,166750,37
79,489.852022,Optimal,4370.980402,124176,166750,38
80,493.797822,Optimal,3623.459402,124176,166750,38
81,489.435838,Optimal,3685.700508,124176,166750,39
82,489.623935,Optimal,3970.581862,124176,166750,36
83,485.555382,Optimal,4338.597022,124176,166750,37
84,493.131919,Optimal,3767.933304,124176,166750,37
85,505.266692,Optimal,4157.447102,124176,166750,37
86,482.66751,Optimal,4016.903541,124176,166750,39
87,501.628471,Optimal,4622.025027,124176,166750,37
88,492.842405,Optimal,3958.876552,124176,166750,36
89,498.561654,Optimal,3891.155772,124176,166750,38
90,493.795009,Optimal,4368.055223,124176,166750,37
91,497.150289,Optimal,4009.038581,124176,166750,37
92,490.986235,Optimal,3883.429688,124176,166750,37
93,491.265559,Optimal,3960.144562,124176,166750,36
94,486.436912,Optimal,4264.221723,124176,166750,36
95,489.533979,Optimal,3835.558837,124176,166750,37
96,488.551776,Optimal,4337.441021,124176,166750,37
97,490.617845,Optimal,4183.826196,124176,166750,37
98,507.238342,Optimal,4055.643789,124176,166750,35
99,506.638403,Optimal,4962.215153,124176,166750,36
100,491.309998,Optimal,3976.568016,124176,166750,37
