Dataset,Computation_Time_Seconds,Status,Total_Cost,Feasible_Subsets,Total_Subsets,N_Subsets_Used
1,23.965295,Optimal,4619.859316,23738,166750,60
2,24.196082,Optimal,5235.128598,23738,166750,59
3,24.366559,Optimal,6459.941415,23738,166750,59
4,24.407525,Optimal,5100.796263,23738,166750,58
5,24.314744,Optimal,5416.994571,23738,166750,57
6,24.557997,Optimal,5846.721906,23738,166750,57
7,23.598176,Optimal,4884.296998,23738,166750,59
8,23.777359,Optimal,5089.942025,23738,166750,58
9,24.05773,Optimal,5826.135135,23738,166750,60
10,24.252246,Optimal,5853.991364,23738,166750,58
11,23.698352,Optimal,6655.814163,23738,166750,56
12,23.515299,Optimal,4913.218803,23738,166750,60
13,25.263934,Optimal,6055.505059,23738,166750,57
14,23.85447,Optimal,5116.03932,23738,166750,58
15,24.259008,Optimal,6072.517403,23738,166750,58
16,23.674795,Optimal,6195.514847,23738,166750,58
17,23.664927,Optimal,6171.19355,23738,166750,55
18,24.414959,Optimal,5688.680866,23738,166750,58
19,25.291905,Optimal,6106.891409,23738,166750,57
20,24.295149,Optimal,4948.530855,23738,166750,59
21,24.230874,Optimal,5839.714685,23738,166750,58
22,25.25333,Optimal,5692.593899,23738,166750,61
23,24.180325,Optimal,5312.21404,23738,166750,57
24,24.069068,Optimal,5716.696291,23738,166750,60
25,24.24343,Optimal,5066.523085,23738,166750,59
26,24.388937,Optimal,5776.60055,23738,166750,57
27,24.531497,Optimal,6451.825361,23738,166750,58
28,23.170033,Optimal,4923.678362,23738,166750,58
29,24.324342,Optimal,6357.347306,23738,166750,56
30,23.78423,Optimal,5033.398102,23738,166750,60
31,24.273262,Optimal,5672.040019,23738,166750,57
32,23.768294,Optimal,5726.685707,23738,166750,58
33,23.77332,Optimal,5460.915393,23738,166750,57
34,23.778702,Optimal,5371.917615,23738,166750,59
35,24.233514,Optimal,5731.60958,23738,166750,58
36,24.845219,Optimal,4747.621902,23738,166750,59
37,23.866372,Optimal,6270.46079,23738,166750,57
38,25.067402,Optimal,6589.54497,23738,166750,58
39,24.584092,Optimal,5614.835807,23738,166750,59
40,24.489684,Optimal,5299.166521,23738,166750,58
41,25.139545,Optimal,6365.671374,23738,166750,57
42,24.475374,Optimal,5156.145112,23738,166750,59
43,24.448304,Optimal,5869.944312,23738,166750,59
44,24.611119,Optimal,6160.997533,23738,166750,58
45,24.277892,Optimal,5372.707496,23738,166750,59
46,24.555593,Optimal,5129.701636,23738,166750,60
47,24.216993,Optimal,5283.880322,23738,166750,56
48,23.966556,Optimal,6030.19668,23738,166750,59
49,23.931369,Optimal,4869.579818,23738,166750,58
50,23.782715,Optimal,5470.474783,23738,166750,58
51,24.358359,Optimal,5329.651005,23738,166750,59
52,24.577874,Optimal,5411.041299,23738,166750,59
53,23.697757,Optimal,6131.602962,23738,166750,58
54,24.838918,Optimal,5618.674254,23738,166750,60
55,25.302935,Optimal,6881.370558,23738,166750,55
56,23.978926,Optimal,5621.371405,23738,166750,58
57,24.578828,Optimal,6555.835775,23738,166750,56
58,25.568515,Optimal,6762.033169,23738,166750,56
59,23.848758,Optimal,6401.281419,23738,166750,59
60,24.37119,Optimal,6618.755914,23738,166750,57
61,24.224297,Optimal,5083.82929,23738,166750,58
62,24.458707,Optimal,5640.604856,23738,166750,59
63,24.275097,Optimal,5021.707135,23738,166750,57
64,24.423961,Optimal,4632.5234,23738,166750,59
65,24.052973,Optimal,5480.924748,23738,166750,60
66,24.144562,Optimal,5558.804279,23738,166750,61
67,23.808856,Optimal,5032.039724,23738,166750,59
68,24.028631,Optimal,5164.613151,23738,166750,60
69,24.257832,Optimal,5850.007789,23738,166750,61
70,26.932559,Optimal,5596.764488,23738,166750,59
71,26.505637,Optimal,5012.802765,23738,166750,61
72,27.819761,Optimal,5783.266366,23738,166750,57
73,29.336644,Optimal,6702.81178,23738,166750,59
74,27.38813,Optimal,5716.14701,23738,166750,59
75,24.059279,Optimal,4945.660294,23738,166750,57
76,23.823132,Optimal,6750.593814,23738,166750,59
77,24.04437,Optimal,5296.89705,23738,166750,57
78,23.970464,Optimal,5841.410661,23738,166750,58
79,23.821194,Optimal,5912.659346,23738,166750,56
80,24.140698,Optimal,4998.054503,23738,166750,61
81,24.307263,Optimal,5043.589211,23738,166750,60
82,23.272474,Optimal,5505.755387,23738,166750,57
83,23.552658,Optimal,6011.48409,23738,166750,57
84,23.128321,Optimal,5145.401321,23738,166750,58
85,23.582878,Optimal,5897.956909,23738,166750,59
86,24.448249,Optimal,6021.801727,23738,166750,61
87,24.074544,Optimal,6679.326888,23738,166750,57
88,24.764446,Optimal,5418.526714,23738,166750,56
89,24.420582,Optimal,5249.518143,23738,166750,60
90,23.934702,Optimal,6119.578378,23738,166750,58
91,24.132555,Optimal,5565.908444,23738,166750,59
92,24.250242,Optimal,5350.54788,23738,166750,57
93,23.797897,Optimal,5623.741276,23738,166750,57
94,24.523558,Optimal,6038.271791,23738,166750,58
95,23.77274,Optimal,5340.692968,23738,166750,57
96,24.574678,Optimal,6254.71813,23738,166750,58
97,23.220314,Optimal,5899.389093,23738,166750,58
98,24.029116,Optimal,5788.516519,23738,166750,59
99,24.056463,Optimal,7204.582543,23738,166750,56
100,24.918567,Optimal,5636.193889,23738,166750,60
