Dataset,Capacity,Total_Cost,Vehicles_Used,Num_Depots,Num_Customers,Time_Seconds,Status
1,100,5739.78,67,10,100,0.002277,OK
2,100,6524.75,71,10,100,0.0019,OK
3,100,8167.82,70,10,100,0.002035,OK
4,100,6547.18,70,10,100,0.001879,OK
5,100,7069.92,72,10,100,0.002182,OK
6,100,7714.77,71,10,100,0.002242,OK
7,100,6228.53,69,10,100,0.001981,OK
8,100,6510.5,71,10,100,0.001893,OK
9,100,7390.54,73,10,100,0.001952,OK
10,100,7590.99,70,10,100,0.0019,OK
11,100,8923.71,70,10,100,0.002105,OK
12,100,6160.58,70,10,100,0.001877,OK
13,100,8077.36,69,10,100,0.002296,OK
14,100,6515.24,71,10,100,0.002185,OK
15,100,7715.49,71,10,100,0.001873,OK
16,100,7820.95,69,10,100,0.002293,OK
17,100,8083.96,71,10,100,0.002064,OK
18,100,7244.33,70,10,100,0.001972,OK
19,100,8727.34,67,10,100,0.002319,OK
20,100,6415.39,70,10,100,0.00196,OK
21,100,7756.3,69,10,100,0.002308,OK
22,100,6964.52,70,10,100,0.002087,OK
23,100,6860.35,70,10,100,0.002049,OK
24,100,7342.56,72,10,100,0.001984,OK
25,100,6336.88,71,10,100,0.001863,OK
26,100,7555.79,71,10,100,0.001865,OK
27,100,8150.39,70,10,100,0.002191,OK
28,100,6431.83,72,10,100,0.00198,OK
29,100,8218.44,71,10,100,0.002155,OK
30,100,6570.72,69,10,100,0.002218,OK
31,100,7384.12,70,10,100,0.002092,OK
32,100,7355.12,68,10,100,0.002312,OK
33,100,7139.75,72,10,100,0.001929,OK
34,100,6711.82,69,10,100,0.001899,OK
35,100,7468.05,70,10,100,0.001816,OK
36,100,6327.65,69,10,100,0.001725,OK
37,100,8501.3,69,10,100,0.001904,OK
38,100,8892.05,71,10,100,0.001941,OK
39,100,7163.67,69,10,100,0.0019,OK
40,100,6823.48,71,10,100,0.001833,OK
41,100,8406.39,68,10,100,0.001894,OK
42,100,6738.81,70,10,100,0.001864,OK
43,100,7845.72,71,10,100,0.001943,OK
44,100,7725.84,70,10,100,0.00188,OK
45,100,7114.02,70,10,100,0.001932,OK
46,100,6365.08,69,10,100,0.00186,OK
47,100,6771.43,70,10,100,0.002012,OK
48,100,7685.25,72,10,100,0.002127,OK
49,100,6280.29,70,10,100,0.002163,OK
50,100,7147.97,70,10,100,0.001686,OK
51,100,7022.46,68,10,100,0.002216,OK
52,100,6789.61,69,10,100,0.001617,OK
53,100,8186.49,69,10,100,0.001755,OK
54,100,7075.31,70,10,100,0.002085,OK
55,100,9523.58,71,10,100,0.002276,OK
56,100,7280.9,70,10,100,0.001625,OK
57,100,8690.71,69,10,100,0.002046,OK
58,100,9459.51,69,10,100,0.002145,OK
59,100,8806.69,68,10,100,0.002171,OK
60,100,8993.81,67,10,100,0.001985,OK
61,100,6548.24,69,10,100,0.001969,OK
62,100,7516.06,70,10,100,0.001864,OK
63,100,6616.06,69,10,100,0.001995,OK
64,100,6276.86,70,10,100,0.001974,OK
65,100,7040.8,72,10,100,0.001916,OK
66,100,7317.06,70,10,100,0.001987,OK
67,100,6131.71,70,10,100,0.001927,OK
68,100,6446.4,69,10,100,0.001809,OK
69,100,7466.36,70,10,100,0.001898,OK
70,100,7052.2,70,10,100,0.001854,OK
71,100,6460.82,73,10,100,0.00182,OK
72,100,7792.44,71,10,100,0.002163,OK
73,100,8833.57,68,10,100,0.002147,OK
74,100,7634.55,71,10,100,0.002192,OK
75,100,6535.42,70,10,100,0.001853,OK
76,100,8947.03,69,10,100,0.002201,OK
77,100,6743.38,69,10,100,0.002421,OK
78,100,7807.18,71,10,100,0.002025,OK
79,100,7653.12,68,10,100,0.0022,OK
80,100,6042.18,69,10,100,0.002012,OK
81,100,6705.72,71,10,100,0.00186,OK
82,100,7194.33,70,10,100,0.002106,OK
83,100,7955.05,67,10,100,0.002061,OK
84,100,6610.71,70,10,100,0.001858,OK
85,100,7587.24,68,10,100,0.001927,OK
86,100,7466.06,72,10,100,0.001886,OK
87,100,8388.12,69,10,100,0.001925,OK
88,100,7087.78,71,10,100,0.001861,OK
89,100,6587.57,70,10,100,0.001953,OK
90,100,7810.69,70,10,100,0.001827,OK
91,100,7139.09,70,10,100,0.002077,OK
92,100,7053.19,71,10,100,0.001653,OK
93,100,7508.96,71,10,100,0.001494,OK
94,100,7859.59,69,10,100,0.001968,OK
95,100,6790.45,68,10,100,0.001544,OK
96,100,8253.78,69,10,100,0.002101,OK
97,100,7740.82,70,10,100,0.002191,OK
98,100,7616.02,71,10,100,0.001676,OK
99,100,9406.65,69,10,100,0.002001,OK
100,100,7234.01,71,10,100,0.001969,OK
