Dataset,Capacity,Total_Cost,Vehicles_Used,Num_Depots,Num_Customers,Time_Seconds,Status
1,200,4248.97,35,10,100,0.00194,OK
2,200,4670.48,36,10,100,0.001899,OK
3,200,5894.17,36,10,100,0.002617,OK
4,200,4578.4,35,10,100,0.002007,OK
5,200,4778.11,35,10,100,0.002169,OK
6,200,5415.49,35,10,100,0.003871,OK
7,200,4682.59,36,10,100,0.001919,OK
8,200,4524.33,35,10,100,0.001889,OK
9,200,4770.09,34,10,100,0.002018,OK
10,200,4866.98,35,10,100,0.002022,OK
11,200,5703.81,35,10,100,0.002117,OK
12,200,4426.03,37,10,100,0.001819,OK
13,200,5415.66,32,10,100,0.001949,OK
14,200,4968.83,37,10,100,0.001892,OK
15,200,4929.63,34,10,100,0.002035,OK
16,200,5645.09,37,10,100,0.001981,OK
17,200,5301.15,34,10,100,0.001971,OK
18,200,5051.41,36,10,100,0.001986,OK
19,200,5596.95,33,10,100,0.002047,OK
20,200,4419.44,35,10,100,0.002204,OK
21,200,4890.49,33,10,100,0.002209,OK
22,200,4738.18,35,10,100,0.002084,OK
23,200,4949.82,35,10,100,0.00208,OK
24,200,4894.04,35,10,100,0.001875,OK
25,200,4495.78,35,10,100,0.001886,OK
26,200,5126.37,36,10,100,0.001957,OK
27,200,5953.59,37,10,100,0.002168,OK
28,200,4297.8,37,10,100,0.001991,OK
29,200,5267.42,34,10,100,0.002011,OK
30,200,4529.03,33,10,100,0.002013,OK
31,200,4762.07,35,10,100,0.001967,OK
32,200,5034.96,35,10,100,0.002156,OK
33,200,4852.52,36,10,100,0.001946,OK
34,200,4676.21,36,10,100,0.002127,OK
35,200,5190.95,35,10,100,0.00214,OK
36,200,4787.65,36,10,100,0.001982,OK
37,200,5480.55,34,10,100,0.001905,OK
38,200,5506.92,35,10,100,0.002302,OK
39,200,5064.2,35,10,100,0.001956,OK
40,200,4700.84,36,10,100,0.002016,OK
41,200,5100.17,32,10,100,0.002206,OK
42,200,4912.53,35,10,100,0.002161,OK
43,200,5545.6,36,10,100,0.002018,OK
44,200,5553.74,36,10,100,0.002047,OK
45,200,5212.46,35,10,100,0.002032,OK
46,200,4525.17,35,10,100,0.001828,OK
47,200,4752.75,35,10,100,0.001915,OK
48,200,4917.05,33,10,100,0.001771,OK
49,200,4679.07,34,10,100,0.001959,OK
50,200,4885.5,36,10,100,0.002005,OK
51,200,4886.57,34,10,100,0.001921,OK
52,200,4555.33,34,10,100,0.002008,OK
53,200,5988.23,35,10,100,0.002093,OK
54,200,4944.54,34,10,100,0.001882,OK
55,200,5851.24,35,10,100,0.002405,OK
56,200,5003.97,34,10,100,0.001781,OK
57,200,5439.77,34,10,100,0.001999,OK
58,200,5614.09,33,10,100,0.00196,OK
59,200,6090.04,36,10,100,0.001925,OK
60,200,6127.25,35,10,100,0.001872,OK
61,200,4860.54,36,10,100,0.001809,OK
62,200,4857.34,36,10,100,0.002371,OK
63,200,4624.43,34,10,100,0.00214,OK
64,200,4270.69,35,10,100,0.002064,OK
65,200,4891.93,35,10,100,0.002274,OK
66,200,5335.48,35,10,100,0.001969,OK
67,200,4482.12,35,10,100,0.001986,OK
68,200,4767.7,35,10,100,0.001899,OK
69,200,4898.22,36,10,100,0.002077,OK
70,200,4807.76,35,10,100,0.001877,OK
71,200,4565.64,36,10,100,0.001824,OK
72,200,5406.92,36,10,100,0.001837,OK
73,200,5886.45,36,10,100,0.002135,OK
74,200,5112.0,34,10,100,0.002029,OK
75,200,4517.92,36,10,100,0.001913,OK
76,200,5263.6,33,10,100,0.001821,OK
77,200,4941.32,36,10,100,0.001868,OK
78,200,5507.38,37,10,100,0.002069,OK
79,200,5112.72,35,10,100,0.002199,OK
80,200,4386.54,34,10,100,0.001959,OK
81,200,4409.43,34,10,100,0.00182,OK
82,200,4807.33,36,10,100,0.002211,OK
83,200,5520.96,35,10,100,0.002135,OK
84,200,4706.27,34,10,100,0.001961,OK
85,200,5145.53,34,10,100,0.002011,OK
86,200,5119.53,35,10,100,0.001957,OK
87,200,5921.56,36,10,100,0.002027,OK
88,200,4970.92,36,10,100,0.001847,OK
89,200,4798.86,36,10,100,0.001954,OK
90,200,5292.22,35,10,100,0.001794,OK
91,200,4983.1,35,10,100,0.002033,OK
92,200,4709.13,35,10,100,0.001657,OK
93,200,4714.92,34,10,100,0.00218,OK
94,200,5528.99,35,10,100,0.002328,OK
95,200,4796.6,35,10,100,0.002017,OK
96,200,5229.42,34,10,100,0.002148,OK
97,200,5065.07,34,10,100,0.001944,OK
98,200,5382.62,35,10,100,0.001816,OK
99,200,5763.03,35,10,100,0.002081,OK
100,200,4829.82,36,10,100,0.002065,OK
