Dataset,Capacity,Total_Cost,Vehicles_Used,Num_Depots,Num_Customers,Time_Seconds,Status
1,120,5702.26,60,10,100,0.001832,OK
2,120,6048.87,61,10,100,0.001819,OK
3,120,8254.15,61,10,100,0.001968,OK
4,120,6110.91,62,10,100,0.001806,OK
5,120,6687.98,61,10,100,0.001822,OK
6,120,6867.38,61,10,100,0.001974,OK
7,120,5632.37,60,10,100,0.001769,OK
8,120,6140.28,59,10,100,0.001821,OK
9,120,7106.01,61,10,100,0.002031,OK
10,120,7114.56,61,10,100,0.002189,OK
11,120,8368.18,59,10,100,0.002055,OK
12,120,5725.0,60,10,100,0.001957,OK
13,120,7574.9,60,10,100,0.001708,OK
14,120,6233.33,60,10,100,0.002085,OK
15,120,7341.12,58,10,100,0.00215,OK
16,120,7701.73,60,10,100,0.002052,OK
17,120,7177.6,60,10,100,0.001943,OK
18,120,6772.62,60,10,100,0.001764,OK
19,120,8199.79,59,10,100,0.001963,OK
20,120,6175.11,60,10,100,0.001814,OK
21,120,7199.22,59,10,100,0.001905,OK
22,120,6883.56,64,10,100,0.001872,OK
23,120,6299.05,60,10,100,0.001889,OK
24,120,6747.47,61,10,100,0.001847,OK
25,120,5922.11,61,10,100,0.001767,OK
26,120,7112.57,60,10,100,0.001495,OK
27,120,8332.18,64,10,100,0.002294,OK
28,120,5812.41,59,10,100,0.001706,OK
29,120,7152.89,59,10,100,0.001624,OK
30,120,6198.4,58,10,100,0.001858,OK
31,120,6670.55,59,10,100,0.002031,OK
32,120,7025.18,60,10,100,0.002252,OK
33,120,6429.0,59,10,100,0.001869,OK
34,120,6691.17,62,10,100,0.002185,OK
35,120,7033.07,58,10,100,0.001804,OK
36,120,5840.51,60,10,100,0.001762,OK
37,120,8116.49,60,10,100,0.001872,OK
38,120,8049.53,62,10,100,0.00185,OK
39,120,7067.09,63,10,100,0.001875,OK
40,120,6143.05,61,10,100,0.001977,OK
41,120,8035.28,61,10,100,0.001618,OK
42,120,6511.4,61,10,100,0.001863,OK
43,120,7115.11,59,10,100,0.002286,OK
44,120,7455.43,62,10,100,0.001974,OK
45,120,6585.72,61,10,100,0.001751,OK
46,120,5982.56,62,10,100,0.001978,OK
47,120,6589.28,61,10,100,0.001873,OK
48,120,7179.88,62,10,100,0.001892,OK
49,120,5680.89,60,10,100,0.001954,OK
50,120,6766.31,61,10,100,0.001916,OK
51,120,6241.16,60,10,100,0.001948,OK
52,120,6383.1,60,10,100,0.001871,OK
53,120,7974.01,60,10,100,0.002033,OK
54,120,7080.05,60,10,100,0.001866,OK
55,120,8330.98,59,10,100,0.001784,OK
56,120,6695.28,60,10,100,0.001957,OK
57,120,8148.18,60,10,100,0.002264,OK
58,120,8511.63,58,10,100,0.00191,OK
59,120,8134.57,58,10,100,0.002181,OK
60,120,8277.69,58,10,100,0.001988,OK
61,120,6440.55,61,10,100,0.001822,OK
62,120,7155.15,61,10,100,0.001942,OK
63,120,6262.36,58,10,100,0.001827,OK
64,120,5885.57,63,10,100,0.001988,OK
65,120,6462.2,62,10,100,0.002086,OK
66,120,7114.13,60,10,100,0.001854,OK
67,120,5750.46,61,10,100,0.001982,OK
68,120,6310.41,61,10,100,0.001934,OK
69,120,7022.65,61,10,100,0.001833,OK
70,120,6460.39,62,10,100,0.001943,OK
71,120,5745.53,61,10,100,0.001764,OK
72,120,7182.06,60,10,100,0.002081,OK
73,120,8730.1,60,10,100,0.002212,OK
74,120,6997.62,60,10,100,0.002232,OK
75,120,5996.63,61,10,100,0.002005,OK
76,120,8048.9,63,10,100,0.002188,OK
77,120,6317.01,58,10,100,0.001957,OK
78,120,7372.55,61,10,100,0.001755,OK
79,120,7176.6,59,10,100,0.002007,OK
80,120,5820.94,61,10,100,0.001786,OK
81,120,6292.37,62,10,100,0.001918,OK
82,120,6526.67,61,10,100,0.002341,OK
83,120,7772.42,60,10,100,0.002019,OK
84,120,6059.61,58,10,100,0.001841,OK
85,120,7288.33,62,10,100,0.001904,OK
86,120,7039.66,62,10,100,0.001822,OK
87,120,7984.27,59,10,100,0.001765,OK
88,120,6661.43,60,10,100,0.001819,OK
89,120,6187.87,61,10,100,0.001493,OK
90,120,7432.78,63,10,100,0.002079,OK
91,120,7066.44,59,10,100,0.002094,OK
92,120,6566.71,60,10,100,0.001912,OK
93,120,6812.19,60,10,100,0.001955,OK
94,120,7569.68,62,10,100,0.002264,OK
95,120,6502.12,61,10,100,0.001924,OK
96,120,7551.71,60,10,100,0.001918,OK
97,120,7594.07,63,10,100,0.001841,OK
98,120,7134.85,60,10,100,0.00176,OK
99,120,8711.92,60,10,100,0.001902,OK
100,120,7207.38,60,10,100,0.001894,OK
