Dataset,Capacity,Total_Cost,Vehicles_Used,Num_Depots,Num_Customers,Time_Seconds,Status
1,160,4734.44,44,10,100,0.001949,OK
2,160,5186.51,46,10,100,0.001679,OK
3,160,6469.52,44,10,100,0.002086,OK
4,160,5410.52,44,10,100,0.0021,OK
5,160,5396.4,43,10,100,0.001908,OK
6,160,6313.38,45,10,100,0.00214,OK
7,160,4787.13,45,10,100,0.001871,OK
8,160,4893.99,45,10,100,0.001844,OK
9,160,5957.83,46,10,100,0.001909,OK
10,160,6125.47,45,10,100,0.001879,OK
11,160,6677.49,43,10,100,0.001992,OK
12,160,4831.01,44,10,100,0.001904,OK
13,160,6380.55,43,10,100,0.002001,OK
14,160,5320.12,45,10,100,0.001906,OK
15,160,6159.66,44,10,100,0.001964,OK
16,160,6269.31,43,10,100,0.002212,OK
17,160,6158.44,45,10,100,0.002041,OK
18,160,5715.73,45,10,100,0.001907,OK
19,160,6264.91,44,10,100,0.002087,OK
20,160,5137.05,42,10,100,0.002028,OK
21,160,5974.01,44,10,100,0.002071,OK
22,160,5599.76,46,10,100,0.002131,OK
23,160,5116.19,44,10,100,0.001932,OK
24,160,5405.51,44,10,100,0.001849,OK
25,160,5105.14,43,10,100,0.001811,OK
26,160,5950.25,45,10,100,0.001888,OK
27,160,6685.52,47,10,100,0.002231,OK
28,160,4869.62,44,10,100,0.001981,OK
29,160,6332.18,44,10,100,0.002158,OK
30,160,5538.4,44,10,100,0.002077,OK
31,160,5714.1,44,10,100,0.002028,OK
32,160,6203.91,44,10,100,0.002186,OK
33,160,5626.12,45,10,100,0.001887,OK
34,160,5435.04,45,10,100,0.001906,OK
35,160,5905.93,43,10,100,0.00186,OK
36,160,5309.06,45,10,100,0.00181,OK
37,160,6463.95,43,10,100,0.002026,OK
38,160,6831.54,45,10,100,0.002137,OK
39,160,5849.76,44,10,100,0.002073,OK
40,160,5347.08,45,10,100,0.002681,OK
41,160,6503.14,44,10,100,0.001995,OK
42,160,5557.23,43,10,100,0.002025,OK
43,160,5979.1,45,10,100,0.002325,OK
44,160,6235.08,46,10,100,0.002098,OK
45,160,5619.23,44,10,100,0.0021,OK
46,160,4946.82,44,10,100,0.001814,OK
47,160,5312.8,45,10,100,0.002084,OK
48,160,5803.94,46,10,100,0.001817,OK
49,160,4966.91,44,10,100,0.00186,OK
50,160,5384.31,43,10,100,0.001916,OK
51,160,5474.11,45,10,100,0.001904,OK
52,160,5220.14,45,10,100,0.001853,OK
53,160,6745.03,43,10,100,0.002116,OK
54,160,5676.94,45,10,100,0.001965,OK
55,160,7044.49,45,10,100,0.00236,OK
56,160,5687.41,44,10,100,0.002193,OK
57,160,6324.94,43,10,100,0.002404,OK
58,160,6885.82,43,10,100,0.002394,OK
59,160,7056.31,43,10,100,0.00219,OK
60,160,7022.27,44,10,100,0.001951,OK
61,160,5279.81,44,10,100,0.001908,OK
62,160,5929.61,45,10,100,0.002049,OK
63,160,5199.25,44,10,100,0.001917,OK
64,160,4674.69,45,10,100,0.001977,OK
65,160,5629.25,45,10,100,0.001848,OK
66,160,6058.87,44,10,100,0.001782,OK
67,160,5146.54,45,10,100,0.002012,OK
68,160,5141.67,44,10,100,0.001912,OK
69,160,5946.71,44,10,100,0.002134,OK
70,160,5711.43,44,10,100,0.002123,OK
71,160,5143.1,44,10,100,0.002297,OK
72,160,5876.41,44,10,100,0.001913,OK
73,160,7054.14,44,10,100,0.002268,OK
74,160,6131.89,47,10,100,0.001996,OK
75,160,5228.12,45,10,100,0.001815,OK
76,160,6350.65,43,10,100,0.001896,OK
77,160,5518.97,45,10,100,0.001892,OK
78,160,6255.31,44,10,100,0.00185,OK
79,160,6266.82,44,10,100,0.002103,OK
80,160,5293.78,45,10,100,0.001985,OK
81,160,5388.24,45,10,100,0.001906,OK
82,160,5783.39,45,10,100,0.002022,OK
83,160,6236.06,43,10,100,0.002037,OK
84,160,5451.38,46,10,100,0.001808,OK
85,160,6109.55,45,10,100,0.001934,OK
86,160,5872.33,45,10,100,0.001875,OK
87,160,6431.46,44,10,100,0.001938,OK
88,160,5968.85,44,10,100,0.001805,OK
89,160,5336.01,45,10,100,0.001847,OK
90,160,5631.48,44,10,100,0.001856,OK
91,160,5525.44,43,10,100,0.001907,OK
92,160,5518.37,45,10,100,0.001883,OK
93,160,5443.65,41,10,100,0.002172,OK
94,160,5974.23,45,10,100,0.002403,OK
95,160,5585.54,43,10,100,0.002058,OK
96,160,6259.37,45,10,100,0.002002,OK
97,160,6132.67,46,10,100,0.002103,OK
98,160,5993.77,44,10,100,0.001866,OK
99,160,6861.92,44,10,100,0.002146,OK
100,160,6020.17,47,10,100,0.001975,OK
