Dataset,Capacity,Total_Cost,Vehicles_Used,Num_Depots,Num_Customers,Time_Seconds,Status
1,140,5301.48,51,10,100,0.002501,OK
2,140,5587.64,51,10,100,0.001582,OK
3,140,7133.2,52,10,100,0.002263,OK
4,140,6078.74,53,10,100,0.001716,OK
5,140,5986.31,52,10,100,0.001806,OK
6,140,6469.9,51,10,100,0.001749,OK
7,140,5328.97,52,10,100,0.001777,OK
8,140,5638.55,50,10,100,0.00154,OK
9,140,6622.77,54,10,100,0.001529,OK
10,140,6766.33,52,10,100,0.001643,OK
11,140,7518.08,49,10,100,0.00223,OK
12,140,5417.08,53,10,100,0.001887,OK
13,140,6714.81,50,10,100,0.001868,OK
14,140,5485.58,50,10,100,0.001822,OK
15,140,6580.28,52,10,100,0.001961,OK
16,140,7137.59,52,10,100,0.001852,OK
17,140,6977.59,52,10,100,0.001843,OK
18,140,6464.85,53,10,100,0.001782,OK
19,140,7772.35,50,10,100,0.001879,OK
20,140,5605.09,51,10,100,0.001745,OK
21,140,6606.14,52,10,100,0.002317,OK
22,140,5522.05,51,10,100,0.001963,OK
23,140,6189.04,53,10,100,0.001692,OK
24,140,6531.37,51,10,100,0.001755,OK
25,140,5748.9,54,10,100,0.001914,OK
26,140,6106.64,52,10,100,0.002214,OK
27,140,7301.11,52,10,100,0.002035,OK
28,140,5452.92,52,10,100,0.002021,OK
29,140,6510.71,49,10,100,0.002168,OK
30,140,6050.28,52,10,100,0.001804,OK
31,140,6439.73,50,10,100,0.00202,OK
32,140,6536.59,51,10,100,0.00198,OK
33,140,6315.36,54,10,100,0.001877,OK
34,140,5926.45,51,10,100,0.001993,OK
35,140,6375.35,50,10,100,0.001845,OK
36,140,5488.45,51,10,100,0.001985,OK
37,140,7210.6,52,10,100,0.002028,OK
38,140,7665.04,52,10,100,0.001964,OK
39,140,6384.22,50,10,100,0.001957,OK
40,140,5812.6,55,10,100,0.001794,OK
41,140,6791.09,49,10,100,0.001989,OK
42,140,6147.64,53,10,100,0.001971,OK
43,140,6785.25,53,10,100,0.001921,OK
44,140,6929.48,52,10,100,0.001751,OK
45,140,6121.75,49,10,100,0.001998,OK
46,140,5610.4,52,10,100,0.001778,OK
47,140,5840.67,52,10,100,0.001898,OK
48,140,6468.73,51,10,100,0.00176,OK
49,140,5470.0,52,10,100,0.002398,OK
50,140,6029.94,52,10,100,0.0017,OK
51,140,6072.42,52,10,100,0.001962,OK
52,140,5688.75,53,10,100,0.001771,OK
53,140,7596.26,50,10,100,0.001726,OK
54,140,6125.91,51,10,100,0.001916,OK
55,140,7624.48,50,10,100,0.002002,OK
56,140,6706.42,53,10,100,0.001878,OK
57,140,7292.65,51,10,100,0.001903,OK
58,140,7379.11,53,10,100,0.001993,OK
59,140,7878.57,49,10,100,0.001887,OK
60,140,7554.13,51,10,100,0.001858,OK
61,140,5930.41,52,10,100,0.001781,OK
62,140,6630.74,53,10,100,0.00195,OK
63,140,5934.02,50,10,100,0.001888,OK
64,140,5059.89,49,10,100,0.002023,OK
65,140,5985.58,52,10,100,0.001582,OK
66,140,6390.32,49,10,100,0.001509,OK
67,140,5536.38,53,10,100,0.001812,OK
68,140,6024.18,54,10,100,0.001948,OK
69,140,6574.09,54,10,100,0.001979,OK
70,140,6204.38,51,10,100,0.001899,OK
71,140,5397.92,50,10,100,0.001778,OK
72,140,6616.49,52,10,100,0.001916,OK
73,140,7987.6,53,10,100,0.00213,OK
74,140,6698.05,52,10,100,0.001886,OK
75,140,5422.6,51,10,100,0.001801,OK
76,140,7410.62,52,10,100,0.001953,OK
77,140,5596.75,51,10,100,0.001687,OK
78,140,6456.8,52,10,100,0.002092,OK
79,140,6835.2,50,10,100,0.002063,OK
80,140,5836.22,55,10,100,0.001905,OK
81,140,6111.11,53,10,100,0.00185,OK
82,140,6030.81,52,10,100,0.002078,OK
83,140,6673.23,51,10,100,0.002018,OK
84,140,5734.28,51,10,100,0.001838,OK
85,140,6363.87,51,10,100,0.001864,OK
86,140,6409.4,51,10,100,0.001905,OK
87,140,7526.82,53,10,100,0.002006,OK
88,140,6208.44,52,10,100,0.00176,OK
89,140,5745.31,53,10,100,0.001763,OK
90,140,6968.82,52,10,100,0.001451,OK
91,140,6578.81,51,10,100,0.001824,OK
92,140,6110.04,51,10,100,0.001926,OK
93,140,5855.25,53,10,100,0.002056,OK
94,140,6587.83,52,10,100,0.002054,OK
95,140,6225.72,52,10,100,0.001939,OK
96,140,6989.09,51,10,100,0.00195,OK
97,140,6955.47,52,10,100,0.001943,OK
98,140,6820.31,52,10,100,0.00203,OK
99,140,7719.33,51,10,100,0.001936,OK
100,140,6011.23,52,10,100,0.001891,OK
